medicine_name,used_for
Salbutamol 40,दमा और सांस की तकलीफ में राहत
Betadine 40,घावों को साफ़ करने के लिए
Domperidone 40,उल्टी और मतली में राहत के लिए
Diclofenac 40,दर्द और सूजन में उपयोगी
Paracetamol 41,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 41,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 41,सूजन और दर्द में राहत के लिए
Ciprofloxacin 41,संक्रमण के इलाज में उपयोगी
Metronidazole 41,दस्त और संक्रमण में उपयोगी
Azithromycin 41,गले और छाती के संक्रमण के लिए
Levocetirizine 41,एलर्जी और छींक में राहत के लिए
Cetirizine 41,एलर्जी और खुजली में उपयोगी
Pantoprazole 41,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 41,पेट की गैस और जलन में राहत
Omeprazole 41,अम्लता में राहत के लिए
Dolo 41,बुखार और दर्द में उपयोगी
Calpol 41,बच्चों के बुखार और दर्द के लिए
ORS 41,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 41,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 41,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 41,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 41,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 41,हड्डियों की मजबूती के लिए
Calcium 41,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 41,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 41,दमा और सांस की तकलीफ में राहत
Betadine 41,घावों को साफ़ करने के लिए
Domperidone 41,उल्टी और मतली में राहत के लिए
Diclofenac 41,दर्द और सूजन में उपयोगी
Paracetamol 42,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 42,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 42,सूजन और दर्द में राहत के लिए
Ciprofloxacin 42,संक्रमण के इलाज में उपयोगी
Metronidazole 42,दस्त और संक्रमण में उपयोगी
Azithromycin 42,गले और छाती के संक्रमण के लिए
Levocetirizine 42,एलर्जी और छींक में राहत के लिए
Cetirizine 42,एलर्जी और खुजली में उपयोगी
Pantoprazole 42,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 42,पेट की गैस और जलन में राहत
Omeprazole 42,अम्लता में राहत के लिए
Dolo 42,बुखार और दर्द में उपयोगी
Calpol 42,बच्चों के बुखार और दर्द के लिए
ORS 42,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 42,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 42,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 42,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 42,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 42,हड्डियों की मजबूती के लिए
Calcium 42,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 42,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 42,दमा और सांस की तकलीफ में राहत
Betadine 42,घावों को साफ़ करने के लिए
Domperidone 42,उल्टी और मतली में राहत के लिए
Diclofenac 42,दर्द और सूजन में उपयोगी
Paracetamol 43,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 43,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 43,सूजन और दर्द में राहत के लिए
Ciprofloxacin 43,संक्रमण के इलाज में उपयोगी
Metronidazole 43,दस्त और संक्रमण में उपयोगी
Azithromycin 43,गले और छाती के संक्रमण के लिए
Levocetirizine 43,एलर्जी और छींक में राहत के लिए
Cetirizine 43,एलर्जी और खुजली में उपयोगी
Pantoprazole 43,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 43,पेट की गैस और जलन में राहत
Omeprazole 43,अम्लता में राहत के लिए
Dolo 43,बुखार और दर्द में उपयोगी
Calpol 43,बच्चों के बुखार और दर्द के लिए
ORS 43,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 43,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 43,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 43,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 43,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 43,हड्डियों की मजबूती के लिए
Calcium 43,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 43,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 43,दमा और सांस की तकलीफ में राहत
Betadine 43,घावों को साफ़ करने के लिए
Domperidone 43,उल्टी और मतली में राहत के लिए
Diclofenac 43,दर्द और सूजन में उपयोगी
Paracetamol 44,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 44,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 44,सूजन और दर्द में राहत के लिए
Ciprofloxacin 44,संक्रमण के इलाज में उपयोगी
Metronidazole 44,दस्त और संक्रमण में उपयोगी
Azithromycin 44,गले और छाती के संक्रमण के लिए
Levocetirizine 44,एलर्जी और छींक में राहत के लिए
Cetirizine 44,एलर्जी और खुजली में उपयोगी
Pantoprazole 44,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 44,पेट की गैस और जलन में राहत
Omeprazole 44,अम्लता में राहत के लिए
Dolo 44,बुखार और दर्द में उपयोगी
Calpol 44,बच्चों के बुखार और दर्द के लिए
ORS 44,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 44,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 44,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 44,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 44,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 44,हड्डियों की मजबूती के लिए
Calcium 44,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 44,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 44,दमा और सांस की तकलीफ में राहत
Betadine 44,घावों को साफ़ करने के लिए
Domperidone 44,उल्टी और मतली में राहत के लिए
Diclofenac 44,दर्द और सूजन में उपयोगी
Paracetamol 45,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 45,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 45,सूजन और दर्द में राहत के लिए
Ciprofloxacin 45,संक्रमण के इलाज में उपयोगी
Metronidazole 45,दस्त और संक्रमण में उपयोगी
Azithromycin 45,गले और छाती के संक्रमण के लिए
Levocetirizine 45,एलर्जी और छींक में राहत के लिए
Cetirizine 45,एलर्जी और खुजली में उपयोगी
Pantoprazole 45,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 45,पेट की गैस और जलन में राहत
Omeprazole 45,अम्लता में राहत के लिए
Dolo 45,बुखार और दर्द में उपयोगी
Calpol 45,बच्चों के बुखार और दर्द के लिए
ORS 45,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 45,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 45,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 45,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 45,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 45,हड्डियों की मजबूती के लिए
Calcium 45,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 45,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 45,दमा और सांस की तकलीफ में राहत
Betadine 45,घावों को साफ़ करने के लिए
Domperidone 45,उल्टी और मतली में राहत के लिए
Diclofenac 45,दर्द और सूजन में उपयोगी
Paracetamol 46,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 46,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 46,सूजन और दर्द में राहत के लिए
Ciprofloxacin 46,संक्रमण के इलाज में उपयोगी
Metronidazole 46,दस्त और संक्रमण में उपयोगी
Azithromycin 46,गले और छाती के संक्रमण के लिए
Levocetirizine 46,एलर्जी और छींक में राहत के लिए
Cetirizine 46,एलर्जी और खुजली में उपयोगी
Pantoprazole 46,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 46,पेट की गैस और जलन में राहत
Omeprazole 46,अम्लता में राहत के लिए
Dolo 46,बुखार और दर्द में उपयोगी
Calpol 46,बच्चों के बुखार और दर्द के लिए
ORS 46,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 46,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 46,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 46,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 46,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 46,हड्डियों की मजबूती के लिए
Calcium 46,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 46,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 46,दमा और सांस की तकलीफ में राहत
Betadine 46,घावों को साफ़ करने के लिए
Domperidone 46,उल्टी और मतली में राहत के लिए
Diclofenac 46,दर्द और सूजन में उपयोगी
Paracetamol 47,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 47,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 47,सूजन और दर्द में राहत के लिए
Ciprofloxacin 47,संक्रमण के इलाज में उपयोगी
Metronidazole 47,दस्त और संक्रमण में उपयोगी
Azithromycin 47,गले और छाती के संक्रमण के लिए
Levocetirizine 47,एलर्जी और छींक में राहत के लिए
Cetirizine 47,एलर्जी और खुजली में उपयोगी
Pantoprazole 47,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 47,पेट की गैस और जलन में राहत
Omeprazole 47,अम्लता में राहत के लिए
Dolo 47,बुखार और दर्द में उपयोगी
Calpol 47,बच्चों के बुखार और दर्द के लिए
ORS 47,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 47,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 47,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 47,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 47,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 47,हड्डियों की मजबूती के लिए
Calcium 47,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 47,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 47,दमा और सांस की तकलीफ में राहत
Betadine 47,घावों को साफ़ करने के लिए
Domperidone 47,उल्टी और मतली में राहत के लिए
Diclofenac 47,दर्द और सूजन में उपयोगी
Paracetamol 48,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 48,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 48,सूजन और दर्द में राहत के लिए
Ciprofloxacin 48,संक्रमण के इलाज में उपयोगी
Metronidazole 48,दस्त और संक्रमण में उपयोगी
Azithromycin 48,गले और छाती के संक्रमण के लिए
Levocetirizine 48,एलर्जी और छींक में राहत के लिए
Cetirizine 48,एलर्जी और खुजली में उपयोगी
Pantoprazole 48,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 48,पेट की गैस और जलन में राहत
Omeprazole 48,अम्लता में राहत के लिए
Dolo 48,बुखार और दर्द में उपयोगी
Calpol 48,बच्चों के बुखार और दर्द के लिए
ORS 48,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 48,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 48,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 48,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 48,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 48,हड्डियों की मजबूती के लिए
Calcium 48,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 48,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 48,दमा और सांस की तकलीफ में राहत
Betadine 48,घावों को साफ़ करने के लिए
Domperidone 48,उल्टी और मतली में राहत के लिए
Diclofenac 48,दर्द और सूजन में उपयोगी
Paracetamol 49,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 49,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 49,सूजन और दर्द में राहत के लिए
Ciprofloxacin 49,संक्रमण के इलाज में उपयोगी
Metronidazole 49,दस्त और संक्रमण में उपयोगी
Azithromycin 49,गले और छाती के संक्रमण के लिए
Levocetirizine 49,एलर्जी और छींक में राहत के लिए
Cetirizine 49,एलर्जी और खुजली में उपयोगी
Pantoprazole 49,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 49,पेट की गैस और जलन में राहत
Omeprazole 49,अम्लता में राहत के लिए
Dolo 49,बुखार और दर्द में उपयोगी
Calpol 49,बच्चों के बुखार और दर्द के लिए
ORS 49,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 49,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 49,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 49,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 49,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 49,हड्डियों की मजबूती के लिए
Calcium 49,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 49,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 49,दमा और सांस की तकलीफ में राहत
Betadine 49,घावों को साफ़ करने के लिए
Domperidone 49,उल्टी और मतली में राहत के लिए
Diclofenac 49,दर्द और सूजन में उपयोगी
Paracetamol 50,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 50,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 50,सूजन और दर्द में राहत के लिए
Ciprofloxacin 50,संक्रमण के इलाज में उपयोगी
Metronidazole 50,दस्त और संक्रमण में उपयोगी
Azithromycin 50,गले और छाती के संक्रमण के लिए
Levocetirizine 50,एलर्जी और छींक में राहत के लिए
Cetirizine 50,एलर्जी और खुजली में उपयोगी
Pantoprazole 50,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 50,पेट की गैस और जलन में राहत
Omeprazole 50,अम्लता में राहत के लिए
Dolo 50,बुखार और दर्द में उपयोगी
Calpol 50,बच्चों के बुखार और दर्द के लिए
ORS 50,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 50,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 50,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 50,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 50,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 50,हड्डियों की मजबूती के लिए
Calcium 50,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 50,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 50,दमा और सांस की तकलीफ में राहत
Betadine 50,घावों को साफ़ करने के लिए
Domperidone 50,उल्टी और मतली में राहत के लिए
Diclofenac 50,दर्द और सूजन में उपयोगी
Paracetamol 51,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 51,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 51,सूजन और दर्द में राहत के लिए
Ciprofloxacin 51,संक्रमण के इलाज में उपयोगी
Metronidazole 51,दस्त और संक्रमण में उपयोगी
Azithromycin 51,गले और छाती के संक्रमण के लिए
Levocetirizine 51,एलर्जी और छींक में राहत के लिए
Cetirizine 51,एलर्जी और खुजली में उपयोगी
Pantoprazole 51,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 51,पेट की गैस और जलन में राहत
Omeprazole 51,अम्लता में राहत के लिए
Dolo 51,बुखार और दर्द में उपयोगी
Calpol 51,बच्चों के बुखार और दर्द के लिए
ORS 51,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 51,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 51,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 51,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 51,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 51,हड्डियों की मजबूती के लिए
Calcium 51,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 51,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 51,दमा और सांस की तकलीफ में राहत
Betadine 51,घावों को साफ़ करने के लिए
Domperidone 51,उल्टी और मतली में राहत के लिए
Diclofenac 51,दर्द और सूजन में उपयोगी
Paracetamol 52,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 52,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 52,सूजन और दर्द में राहत के लिए
Ciprofloxacin 52,संक्रमण के इलाज में उपयोगी
Metronidazole 52,दस्त और संक्रमण में उपयोगी
Azithromycin 52,गले और छाती के संक्रमण के लिए
Levocetirizine 52,एलर्जी और छींक में राहत के लिए
Cetirizine 52,एलर्जी और खुजली में उपयोगी
Pantoprazole 52,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 52,पेट की गैस और जलन में राहत
Omeprazole 52,अम्लता में राहत के लिए
Dolo 52,बुखार और दर्द में उपयोगी
Calpol 52,बच्चों के बुखार और दर्द के लिए
ORS 52,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 52,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 52,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 52,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 52,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 52,हड्डियों की मजबूती के लिए
Calcium 52,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 52,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 52,दमा और सांस की तकलीफ में राहत
Betadine 52,घावों को साफ़ करने के लिए
Domperidone 52,उल्टी और मतली में राहत के लिए
Diclofenac 52,दर्द और सूजन में उपयोगी
Paracetamol 53,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 53,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 53,सूजन और दर्द में राहत के लिए
Ciprofloxacin 53,संक्रमण के इलाज में उपयोगी
Metronidazole 53,दस्त और संक्रमण में उपयोगी
Azithromycin 53,गले और छाती के संक्रमण के लिए
Levocetirizine 53,एलर्जी और छींक में राहत के लिए
Cetirizine 53,एलर्जी और खुजली में उपयोगी
Pantoprazole 53,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 53,पेट की गैस और जलन में राहत
Omeprazole 53,अम्लता में राहत के लिए
Dolo 53,बुखार और दर्द में उपयोगी
Calpol 53,बच्चों के बुखार और दर्द के लिए
ORS 53,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 53,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 53,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 53,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 53,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 53,हड्डियों की मजबूती के लिए
Calcium 53,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 53,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 53,दमा और सांस की तकलीफ में राहत
Betadine 53,घावों को साफ़ करने के लिए
Domperidone 53,उल्टी और मतली में राहत के लिए
Diclofenac 53,दर्द और सूजन में उपयोगी
Paracetamol 54,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 54,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 54,सूजन और दर्द में राहत के लिए
Ciprofloxacin 54,संक्रमण के इलाज में उपयोगी
Metronidazole 54,दस्त और संक्रमण में उपयोगी
Azithromycin 54,गले और छाती के संक्रमण के लिए
Levocetirizine 54,एलर्जी और छींक में राहत के लिए
Cetirizine 54,एलर्जी और खुजली में उपयोगी
Pantoprazole 54,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 54,पेट की गैस और जलन में राहत
Omeprazole 54,अम्लता में राहत के लिए
Dolo 54,बुखार और दर्द में उपयोगी
Calpol 54,बच्चों के बुखार और दर्द के लिए
ORS 54,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 54,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 54,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 54,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 54,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 54,हड्डियों की मजबूती के लिए
Calcium 54,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 54,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 54,दमा और सांस की तकलीफ में राहत
Betadine 54,घावों को साफ़ करने के लिए
Domperidone 54,उल्टी और मतली में राहत के लिए
Diclofenac 54,दर्द और सूजन में उपयोगी
Paracetamol 55,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 55,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 55,सूजन और दर्द में राहत के लिए
Ciprofloxacin 55,संक्रमण के इलाज में उपयोगी
Metronidazole 55,दस्त और संक्रमण में उपयोगी
Azithromycin 55,गले और छाती के संक्रमण के लिए
Levocetirizine 55,एलर्जी और छींक में राहत के लिए
Cetirizine 55,एलर्जी और खुजली में उपयोगी
Pantoprazole 55,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 55,पेट की गैस और जलन में राहत
Omeprazole 55,अम्लता में राहत के लिए
Dolo 55,बुखार और दर्द में उपयोगी
Calpol 55,बच्चों के बुखार और दर्द के लिए
ORS 55,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 55,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 55,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 55,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 55,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 55,हड्डियों की मजबूती के लिए
Calcium 55,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 55,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 55,दमा और सांस की तकलीफ में राहत
Betadine 55,घावों को साफ़ करने के लिए
Domperidone 55,उल्टी और मतली में राहत के लिए
Diclofenac 55,दर्द और सूजन में उपयोगी
Paracetamol 56,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 56,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 56,सूजन और दर्द में राहत के लिए
Ciprofloxacin 56,संक्रमण के इलाज में उपयोगी
Metronidazole 56,दस्त और संक्रमण में उपयोगी
Azithromycin 56,गले और छाती के संक्रमण के लिए
Levocetirizine 56,एलर्जी और छींक में राहत के लिए
Cetirizine 56,एलर्जी और खुजली में उपयोगी
Pantoprazole 56,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 56,पेट की गैस और जलन में राहत
Omeprazole 56,अम्लता में राहत के लिए
Dolo 56,बुखार और दर्द में उपयोगी
Calpol 56,बच्चों के बुखार और दर्द के लिए
ORS 56,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 56,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 56,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 56,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 56,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 56,हड्डियों की मजबूती के लिए
Calcium 56,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 56,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 56,दमा और सांस की तकलीफ में राहत
Betadine 56,घावों को साफ़ करने के लिए
Domperidone 56,उल्टी और मतली में राहत के लिए
Diclofenac 56,दर्द और सूजन में उपयोगी
Paracetamol 57,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 57,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 57,सूजन और दर्द में राहत के लिए
Ciprofloxacin 57,संक्रमण के इलाज में उपयोगी
Metronidazole 57,दस्त और संक्रमण में उपयोगी
Azithromycin 57,गले और छाती के संक्रमण के लिए
Levocetirizine 57,एलर्जी और छींक में राहत के लिए
Cetirizine 57,एलर्जी और खुजली में उपयोगी
Pantoprazole 57,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 57,पेट की गैस और जलन में राहत
Omeprazole 57,अम्लता में राहत के लिए
Dolo 57,बुखार और दर्द में उपयोगी
Calpol 57,बच्चों के बुखार और दर्द के लिए
ORS 57,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 57,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 57,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 57,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 57,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 57,हड्डियों की मजबूती के लिए
Calcium 57,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 57,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 57,दमा और सांस की तकलीफ में राहत
Betadine 57,घावों को साफ़ करने के लिए
Domperidone 57,उल्टी और मतली में राहत के लिए
Diclofenac 57,दर्द और सूजन में उपयोगी
Paracetamol 58,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 58,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 58,सूजन और दर्द में राहत के लिए
Ciprofloxacin 58,संक्रमण के इलाज में उपयोगी
Metronidazole 58,दस्त और संक्रमण में उपयोगी
Azithromycin 58,गले और छाती के संक्रमण के लिए
Levocetirizine 58,एलर्जी और छींक में राहत के लिए
Cetirizine 58,एलर्जी और खुजली में उपयोगी
Pantoprazole 58,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 58,पेट की गैस और जलन में राहत
Omeprazole 58,अम्लता में राहत के लिए
Dolo 58,बुखार और दर्द में उपयोगी
Calpol 58,बच्चों के बुखार और दर्द के लिए
ORS 58,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 58,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 58,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 58,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 58,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 58,हड्डियों की मजबूती के लिए
Calcium 58,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 58,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 58,दमा और सांस की तकलीफ में राहत
Betadine 58,घावों को साफ़ करने के लिए
Domperidone 58,उल्टी और मतली में राहत के लिए
Diclofenac 58,दर्द और सूजन में उपयोगी
Paracetamol 59,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 59,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 59,सूजन और दर्द में राहत के लिए
Ciprofloxacin 59,संक्रमण के इलाज में उपयोगी
Metronidazole 59,दस्त और संक्रमण में उपयोगी
Azithromycin 59,गले और छाती के संक्रमण के लिए
Levocetirizine 59,एलर्जी और छींक में राहत के लिए
Cetirizine 59,एलर्जी और खुजली में उपयोगी
Pantoprazole 59,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 59,पेट की गैस और जलन में राहत
Omeprazole 59,अम्लता में राहत के लिए
Dolo 59,बुखार और दर्द में उपयोगी
Calpol 59,बच्चों के बुखार और दर्द के लिए
ORS 59,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 59,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 59,रक्ताल्पता (एनीमिया) में उपयोगी
